Group Labels	KO_TP_1	KO_TP_2	KO_TP_3	KO_TP_4	KO_TP_5	KO_baseline_1	KO_baseline_2	KO_baseline_3	KO_baseline_4	KO_baseline_5	WT_TP_1	WT_TP_2	WT_TP_3	WT_TP_4	WT_TP_5	WT_baseline_1	WT_baseline_2	WT_baseline_3	WT_baseline_4	WT_baseline_5
Q80U28-14	2753.99	2469.39	3218.45	2864.93	3377.19	2214.64	2565.38	2947.5	3131.04	2890.24	5439.59	3777.61	4049.02	5039.71	3753.17	3753.3	3953.2	5258.39	3795.31	4487.91
Q80U28-4	2482.2	2654.26		2072.52	2292.08	3181.64	2959.68	1896.49	2274.71	2738.6	4035.88		2542.88		3072.33	4482.85	3721.12	3360.49	2879.69	3745.68
Q80U30-2	2735.29	3198.87	3133.1	3106.97	2272.74	2211.12	2004.25	2826.96	3480.26	2435.5	5399.02	5694.42	4075.62	5060.94	4698.62	2847.66	2372.63	3205.69	3459.76	3255.04
Q80U38	5153.89	5591.48	5962.89	5038.53	5054.26	4859.81	4567.48	4787.18	5662.79	4710.22	6004.99	5791.32	5654.64	6291.55	5418.05	3451.55	2736.92	4086.27	3640.23	3900.68
Q80U44	2195.54	2197.93	2323.68	1929.59	1989.29	2164.2	2156.02	2108.19	2438.83	1979.57	3044.13	2874.13	2645.46	2500.16	2941.2	2662.28	1899.26	2660.76	2595.79	2658.47
Q80U49	2958.55	3041.12	3143.36	3319.83	2732.29	2548.59	2752.08	2481.88	2442.86	2646.45	7682.46	5911.57	5406.44	6335.55	5220.19	3079	3468.49	3805.17	3802.72	4370.86
Q80U56	8791.77	9047.9	8799.56	7981.86	8773.98	7372.29	6771.78	7561.59	7857.69	7451.22	8500.06	7564.06	7208.72	8007.13	8363.89	6483.09	7006.95	7027.74	7267.72	7808.17
Q80U62-2	1574.4	2443.63	2234.05	1964.84	698.061	2036.4	2730.16	2196.74	2679.4	2883.55	4106.26	3831.37	3526.18	4253.43	4831.93	3331.14	3123.63	4160.31	3147.45	3288.31
Q80U63	5221	5172.71	4651.67	5152.77	4231.18	3180.45	3447.26	3054.61	3678.97	2745.91	3775.92	4399.05	4076.13	5497.85	4680.94	2425.04	2552.33	2545.58	2588.47	2615.38
Q80U70	7723.65	7679.07	7818.71	7096.11	7819	9980.64	9494.71	9679.42	9260.61	7949.45	9573.8	12635.3	11553.8	11605.7	12344.1	9264.98	9173.95	9330.81	8827.41	8774.9
Q80U72	8120.34	7491.23	8219.52	7978.06	7017.6	7114.58	8149.81	7331.71	8523.05	7615.26	13535.7	13957.6	14418	14761.2	13793.8	9467.71	10201.6	11659	10833.2	10885.5
Q80U78-2	16698.2	16911.5	18635.9	16397.7	15810.6	17731.7	18790.5	19787.9	21338.5	20532.4	19185.8	16531.1	17803.8	18390.2	16525.9	15377.6	15069.7	20222.8	18625.4	16334.4
Q80U78-3	17137.2	16519.6	17583.2	17986.5	17503.7	18475.5	20686.2	17442.3	18312.8	21126.1	18110	15459.6	19635	15002.2	15773.9	18489.3	19752.2	16680.4	16861.8	19243.9
Q80U87	40113.8	41986.9	40286.2	38723	43208.9	45161.1	39036.3	38947.8	40071	37721.7	90076.1	89060.3	82295.4	97747.3	68335.3	45789.6	45589.5	45831.6	41188	50824.6
Q80U93	50497	45983.6	51121.3	48837.4	46984.8	51570.1	53106.1	49844.2	54161.3	52066.5	55413.7	54134.8	52738.6	54090.6	53012.2	55476.8	50292.3	61256.8	56272.5	59948.4
Q80U95	18125.5	16260	18437.1	17732.6	16178.7	16931.6	18094.5	16863.4	16854.3	16665	26858.3	26636.8	23404.7	27700.8	22208.9	17769.6	15153	19817	17948.3	19624.9
Q80UE5	19970.6	18335.6	20212.1	20133.1	17963.7	16383.7	17369.1	16213.8	18255.3	16169.7	26422.7	26782.4	27487.2	28977	28653.7	16771	15928.8	17030.5	16533.8	17557.9
Q80UG1-2	4001.52	3698.32	4387.27	3286.8	3643.43	4449.04	3873.78	2974.67	3190.65	3299.31	2744.23	2292.29	2455.91	1962.59	3536.93	3149.17	3678.96	2269.02	2777.21	2394.93
Q80UG5-3	39482.4	40755.5	43970.1	43623.4	40557.9	93054.6	101559	99597	95230.4	111968	61992.5	46887	46840.3	47574.4	47643.6	99752.7	110308	100225	98602.5	106110
Q80UJ7	16571.2	15664.9	17267.6	15893.4	13937.4	15110.1	15907.6	15887.3	15288.9	16289.1	20417.3	18536.4	17932.2	18926.5	18845.4	15690.4	14309.5	16408.9	15844.5	16071.4
Q80UK8	29406.6	26943	32627.7	27681.6	27244.2	31249.3	29194.5	27636.2	30278.3	26959	29247.8	35138.2	31432.8	35837	33741.4	28647.7	26231.6	28591.8	27967.5	28578.6
Q80UM7	143352	144611	151815	143845	137762	113615	113931	117397	111524	103472	86701.7	119428	105556	130475	123565	95896.8	90982.2	102554	105685	105538
Q80UN9	1904.82	1773.75	1916.47	2069.21	2221.48	3048.3	3564.66	3319.02	2854.31	3163.09	4210.93	3485.81	3282.17	4066.39	3158.89	4074.87	3775.2	5202.45	4835.87	4942.51
Q80UP5	14227.6	14651.3	14672.4	15414.3	13692.2	14039.4	13559	14626.3	16163.1	13421	15772.1	15895.8	14193.3	15549.5	13592.4	13573.4	13007.8	14105.2	15864.6	15481.5
Q80UP8	890.804	878.01	1082.4	948.848	1077.6	451.894	1150.78	1514.7	1708.87	623.694	801.019	1034.6	1258.13	1409.46	1410.58	749.182	735.806	861.237	1144.88	1355.63
Q80US4	7200.95	6728.55	7502.75	6353.45	5138.1	5160.64	4408.69	5284.66	6445.77	6761.62	6802.6	5766.35	5250.03	6112.12	6559.96	4379.94	5153.42	5949.27	5250.24	5634.66
Q80UU1	5977.14	5252.31	6156.32	5648.04	4754.58	5799.88	5400.98	7319.17	6587.69	6486.23	6807.14	5848.58	5178.68	6060.44	5964	5509.18	4697.56	6778.59	6066.43	6134.07
Q80UU9	74222.4	74712	83222.1	76433.1	79929.3	55673.6	56665.5	54716.9	57089	54015.4	51989	69915.6	73948.7	71663.6	66603.1	45018.1	49281.9	45910.4	49835.1	53360
Q80UV9-3	6384.74	6345.03	6818.29	6449.18	6018.89	6904.68	6974.99	5495.21	6847.56	7040.84	9417.74	8530.13	8202.68	9261.64	9358.8	6181.38	6431.9	7292.52	6558.31	6870.35
Q80UW2	3610.38	3530.38	4630.99	3992.92	3821.15	2862.82	2962.34	2768.59	2988.57	2787.64	11160.1	9176.93	10156.6	11562.2	7594.49	4490.6	6205.78	5894.93	4669.23	5227.26
Q80UW5	1001.88	975.216		1152.46			922.232	1568.45	1159.44	1120.43	1858.42		1313.76	1408.47	1271.62	751.207	666.643			945.902
Q80UW8	39056.5	42247.9	40573.3	40937.4	47448.5	40056	38099.4	37662.6	41057.5	37130.1	32486.9	35432.5	37019.8	32295.9	32694.2	34913.6	34020.1	35095.5	33037.3	35169.3
Q80UX8	3035.67	4306.95	2857.49	2591.7	3640.74	2184.75	2534.1													
Q80UY1	20041.1	17810.3	16320.4	18716.3	19317.4	25083.9	22574.2	20969.5	20883.8	18958.8	21367.3	22918.6	23100	19820.9	21533.4	26086.6	21628.7	23598.4	18827.5	21445.5
Q80UY2	7316.99	6791.76	8045.26	6397.69	7301.41	7215.62	7666.56	7314.72	6300.4	9404.17	10385	7728.87	6892.86	8410.29	7717.35	5988.07	10507.7	7912.1	8497.95	9335.73
Q80UZ2-2	11720.6	10549.8	11525.3	11584.6	11596.6	13536.6	14681.2	12910.7	14630.8	12663.7	5419.21	6054.62	6187.62	5348.19	7037.61	14186.2	11581.4	14063.4	12280.5	13405.8
Q80V23-2	2626.3	2641.07	3121.1	2846.49		2907.19	3244.06	2254.09	3266.03	2270.83		1601.23	2535.91	2509.94	2151.96	2342.05	3233.81	2726.05	2563	2944.75
Q80V26	27588.8	25294.4	22031.9	24758.4	26258.2	17905.2	17897.2	14958.1	13615.2	12746.9	14601.4	23476.8	21086.8	20781.4	20287.5	14518.4	16324.6	11148.9	13081	14464.6
